Modelo de Atención,Dirección,Teléfono,Ext.,Tipo de Modelo,Horario,Delitos que conoce
Unidad de Reacción Inmediata (URI) Usaquen,Cr 20 164A 36,2971000,3290 - 3707,Unidad de Reacción Inmediata (URI),"Domingo a domingo: Jornada Continua, 24 Horas (Sólo para casos con vocación de actos urgentes)","Denuncia de todos los delitos.                                                                                Actúa en casos de judicialización de personas capturadas en flagrancia (sorprendidas al momento de cometer el delito) y en aquellos que por su reciente ocurrencia y tipo de delito, requieren inmediatez en la recolección de evidencia"
Unidad de Reacción Inmediata (URI) Engativa,Cra. 78a #77a-2 Bogota,4303234 - 4302436 - 4303096,,Unidad de Reacción Inmediata (URI),"Domingo a domingo: Jornada Continua, 24 Horas (Sólo para casos con vocación de actos urgentes)","Denuncia de todos los delitos.                                                                                Actúa en casos de judicialización de personas capturadas en flagrancia (sorprendidas al momento de cometer el delito) y en aquellos que por su reciente ocurrencia y tipo de delito, requieren inmediatez en la recolección de evidencia"
Unidad de Reacción Inmediata (URI) Puente Aranda,Cra. 40 Nº 10 A 08,3647333,1401,Unidad de Reacción Inmediata (URI),"Domingo a domingo: Jornada Continua, 24 Horas (Sólo para casos con vocación de actos urgentes)","Denuncia de todos los delitos.                                                                                Actúa en casos de judicialización de personas capturadas en flagrancia (sorprendidas al momento de cometer el delito) y en aquellos que por su reciente ocurrencia y tipo de delito, requieren inmediatez en la recolección de evidencia"
Unidad de Reacción Inmediata (URI) Ciudad Bolivar,Avda. Caracas Cll 51 Nº 7 - 76 Piso 1,7694990,,Unidad de Reacción Inmediata (URI),"Domingo a domingo: Jornada Continua, 24 Horas (Sólo para casos con vocación de actos urgentes)","Denuncia de todos los delitos.                                                                                Actúa en casos de judicialización de personas capturadas en flagrancia (sorprendidas al momento de cometer el delito) y en aquellos que por su reciente ocurrencia y tipo de delito, requieren inmediatez en la recolección de evidencia"
Unidad de Reacción Inmediata (URI) Kennedy,Cra. 69 Nº 36 - 70 Sur,7111835,,Unidad de Reacción Inmediata (URI),"Domingo a domingo: Jornada Continua, 24 Horas (Sólo para casos con vocación de actos urgentes)","Denuncia de todos los delitos.                                                                                Actúa en casos de judicialización de personas capturadas en flagrancia (sorprendidas al momento de cometer el delito) y en aquellos que por su reciente ocurrencia y tipo de delito, requieren inmediatez en la recolección de evidencia"
Unidad de Reacción Inmediata (URI) Paloquemao,Avda. 19 Nº 29 - 75 Bl D Piso 1,2971000,3290          3707,Unidad de Reacción Inmediata (URI),Lunes a Viernes: 8am a 4pm - Jornada Continua,Denuncia de todos los delitos.
